fecha,n1,n2,n3,n4,n5,n6
27/01/2018,7,8,10,14,27,48
25/01/2018,3,6,25,31,32,40
20/01/2018,15,23,28,36,39,47
18/01/2018,11,12,22,28,37,49
13/01/2018,6,7,22,31,38,44
11/01/2018,15,24,29,32,36,46
6/01/2018,19,28,33,40,42,48
4/01/2018,6,9,13,24,35,42
30/12/2017,8,9,11,21,42,44
28/12/2017,3,5,21,26,28,34
23/12/2017,4,24,26,30,39,46
21/12/2017,3,15,27,35,36,45
16/12/2017,16,19,28,45,48,49
14/12/2017,25,28,31,35,44,48
9/12/2017,5,32,33,38,40,47
7/12/2017,1,3,4,7,14,45
2/12/2017,3,11,16,19,22,47
30/11/2017,5,6,9,20,29,30
25/11/2017,21,29,31,32,34,46
23/11/2017,3,9,11,35,43,45
18/11/2017,3,7,12,29,31,44
16/11/2017,5,10,11,13,23,41
11/11/2017,6,8,22,24,43,45
9/11/2017,1,9,10,12,27,49
4/11/2017,19,25,27,42,47,48
2/11/2017,12,19,34,45,47,48
28/10/2017,3,17,21,35,37,38
26/10/2017,2,6,17,25,37,49
21/10/2017,5,6,17,22,34,40
19/10/2017,7,11,16,31,41,42
14/10/2017,16,23,26,35,45,47
12/10/2017,7,9,20,31,37,47
7/10/2017,1,20,23,41,45,47
5/10/2017,5,12,23,26,33,48
30/09/2017,4,6,31,33,35,42
28/09/2017,13,18,28,29,30,33
23/09/2017,9,15,18,23,37,41
21/09/2017,14,15,20,23,26,48
16/09/2017,1,5,7,10,25,44
14/09/2017,4,7,16,18,23,36
9/09/2017,1,10,20,21,37,44
7/09/2017,1,14,18,19,26,37
2/09/2017,1,4,18,37,40,49
31/08/2017,4,15,20,35,39,41
26/08/2017,7,19,23,28,42,49
24/08/2017,7,10,12,35,38,40
19/08/2017,2,17,35,37,43,48
17/08/2017,8,17,19,45,48,49
12/08/2017,9,17,19,25,29,46
10/08/2017,6,9,20,26,38,45
5/08/2017,6,10,17,26,44,49
3/08/2017,13,17,20,27,33,34
29/07/2017,20,23,35,43,44,47
27/07/2017,1,2,5,27,39,49
22/07/2017,18,21,27,37,38,40
20/07/2017,3,5,22,35,43,46
15/07/2017,11,23,32,42,46,47
13/07/2017,1,6,8,12,27,40
8/07/2017,3,16,21,25,26,39
6/07/2017,3,5,9,20,29,49
1/07/2017,12,22,26,27,30,31
29/06/2017,1,11,20,35,40,49
24/06/2017,11,14,21,30,39,40
22/06/2017,3,15,30,37,38,41
17/06/2017,3,13,16,21,28,43
15/06/2017,3,7,11,20,22,30
10/06/2017,18,19,22,29,35,45
8/06/2017,19,20,25,32,33,34
3/06/2017,9,12,13,22,23,43
1/06/2017,7,10,26,29,33,37
27/05/2017,18,25,26,29,30,39
25/05/2017,18,21,28,32,34,42
20/05/2017,10,24,25,31,32,36
18/05/2017,8,15,16,19,27,47
13/05/2017,3,9,28,29,41,42
11/05/2017,6,19,20,28,31,39
6/05/2017,1,22,26,27,31,34
4/05/2017,9,11,17,23,28,36
29/04/2017,3,12,22,24,35,46
27/04/2017,10,11,26,32,33,44
22/04/2017,1,11,16,26,45,47
20/04/2017,11,16,21,22,28,46
15/04/2017,6,14,24,30,35,48
13/04/2017,2,14,20,24,41,47
8/04/2017,3,19,40,44,47,48
6/04/2017,7,15,16,25,28,29
1/04/2017,6,8,18,22,26,36
30/03/2017,13,20,33,35,42,48
25/03/2017,7,11,35,36,37,40
23/03/2017,16,25,29,35,39,49
18/03/2017,3,5,14,21,28,43
16/03/2017,4,38,39,41,45,49
11/03/2017,1,22,28,37,39,43
9/03/2017,3,4,24,30,36,44
4/03/2017,8,17,25,26,38,48
2/03/2017,22,25,29,41,42,43
25/02/2017,2,9,13,27,36,48
23/02/2017,11,12,17,27,42,48
18/02/2017,5,15,19,21,29,39
16/02/2017,3,16,25,29,35,40
11/02/2017,4,22,36,40,43,47
9/02/2017,5,18,30,33,37,45
4/02/2017,8,26,31,32,39,42
2/02/2017,4,5,17,24,27,28
28/01/2017,8,10,22,24,35,47
26/01/2017,13,15,20,24,32,38
21/01/2017,4,9,15,29,37,45
19/01/2017,1,6,23,32,39,48
14/01/2017,2,3,6,10,25,43
12/01/2017,6,10,32,34,36,48
7/01/2017,12,28,32,33,36,49
5/01/2017,3,9,12,23,27,49
31/12/2016,2,3,14,29,36,40
29/12/2016,7,19,28,33,38,45
24/12/2016,26,29,31,34,36,40
22/12/2016,17,28,31,39,47,49
17/12/2016,11,18,31,34,35,45
15/12/2016,16,17,21,26,31,38
10/12/2016,9,15,25,37,47,49
8/12/2016,7,12,13,21,44,46
3/12/2016,3,5,8,13,21,43
1/12/2016,22,30,33,40,42,45
26/11/2016,3,14,15,19,20,28
24/11/2016,1,6,10,14,34,46
19/11/2016,6,14,15,39,46,48
17/11/2016,2,9,16,21,30,31
12/11/2016,5,22,26,33,47,48
10/11/2016,2,8,15,22,28,48
5/11/2016,4,7,14,30,46,49
3/11/2016,12,21,29,30,44,46
29/10/2016,4,14,16,26,38,47
27/10/2016,2,4,22,23,32,35
22/10/2016,12,13,15,31,32,43
20/10/2016,5,7,15,18,20,21
15/10/2016,1,22,27,42,43,49
13/10/2016,1,5,18,21,32,36
